id,creo,affiliate
45368,162500,clickdealer9
53864,170542,clickdealer9
50377,163663,clickdealer9
51996,167300,clickdealer9
10468,74957,clickdealer9
25829,168709,clickdealer9
43722,152863,clickdealer9
48040,159525,clickdealer9
48458,160167,clickdealer9
52780,168520,clickdealer9
53056,169097,clickdealer9
53073,169148,clickdealer9
53070,169148,clickdealer9
