id,creo,affiliate
12679,51600,advidi4
12663,50537,advidi4
14280,54679,advidi4
12640,50980,advidi4
12649,50523,advidi4
12643,51046,advidi4
12652,51830,advidi4
12984,51644,advidi4
13874,53744,advidi4
12888,51142,advidi4
12639,50513,advidi4
12648,51785,advidi4
13875,53746,advidi4
12672,39345,advidi4
13188,50757,advidi4
12419,49919,advidi4
12666,51325,advidi4
12677,50551,advidi4
14279,52473,advidi4
